dropoff_taxizone_id,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
237.0,9.430933899145197,10886304,102668013.42999995,1.6590383908074566,15.961609840323128
238.0,10.546433097738104,6155756,64921268.819999926,2.333664222558564,16.587758673560025
239.0,10.312958286966513,7402027,76336795.68999988,2.1943558703581867,16.952966507832656
240.0,36.59692604568686,9587,350854.72999999986,12.067307812662976,7.082384510450375
241.0,35.593434626962846,49164,1749915.6200000013,11.607893377267914,6.696084166612758
242.0,33.533811349477055,35473,1189544.8899999997,10.58126828855749,7.06285774632649
243.0,27.434477688758655,542081,14871709.099999981,8.299614707027184,13.348192377412888
244.0,22.0852822664871,1058025,23366780.77000001,6.588304454053533,12.557383932700205
245.0,56.862202208018594,3442,195719.7,19.450720511330623,14.205144648576848
246.0,10.737245371937723,5538225,59465280.74999979,2.033663034636566,16.45727964670366
247.0,22.27615116198991,130681,2911069.7100000037,6.307661327966572,7.363657799783217
248.0,30.943864209107407,34126,1055990.3099999994,9.887065287464093,4.063225396278437
249.0,9.923270729703235,4901047,48634416.23999985,1.9750800839086367,17.841292828124324
250.0,32.241135597789416,29676,956787.9399999988,10.297780361234668,4.914810739741098
251.0,53.91454329518463,4631,249678.25,18.502675448067375,15.244208692482
252.0,32.63429623400532,43999,1435876.4000000001,10.82878724516467,8.546694543363797
253.0,24.647382342837513,2911,71748.53,7.564874613534867,4.607413900582482
254.0,40.860486934858386,35323,1443314.9800000028,13.360743141862246,3.735342726904018
255.0,21.318891194593345,848138,18081361.74000001,5.812989277688292,16.415191009812975
256.0,18.5349020398045,754337,13981562.400000008,4.817962873357684,15.436614239474075
257.0,30.85128678490286,147445,4548867.980000002,9.695569398758844,16.931266576280525
258.0,29.478659328504705,56054,1652396.7700000028,8.949014878510008,5.922222781788586
259.0,43.05321412659281,33667,1449472.5600000003,14.392649478718026,6.633782058888843
260.0,17.75757721389207,343332,6096744.499999993,4.794399240385403,8.339973513145395
261.0,17.3028382535051,1480199,25611643.88,4.552532436517011,14.419491995393214
262.0,11.006880041137324,3792175,41740015.31999993,2.4675156315306737,16.508700225643274
263.0,10.340427737971407,5546433,57352489.63999996,2.3348779981656818,16.928838948136956
264.0,15.09200177588015,3759262,56734788.779998764,2.5354698129580244,14.14009024967659
265.0,74.2361503860453,740973,55006983.05999914,14.747752374243039,12.676729606048891
